common vocabulary size  ,distance_between_users,user1,user2
757,0.733464044,227353,454303
760,0.733475495,379353,21393536
760,0.733523928,799305,1262049
760,0.733560861,16927896,21393536
760,0.733567662,2535732,15161948
750,0.733599255,82917,799305
766,0.733614517,1711318,1849426
759,0.733630953,423733,25362190
763,0.733633046,1140297,14080464
760,0.733651943,1568320,2535732
750,0.733680434,799305,1330950
750,0.733689479,285606,1940900
760,0.733706701,1140297,2483880
755,0.733713659,238598,1184397
750,0.733734681,799305,1032287
752,0.733773946,964315,1140297
756,0.733779,902933,2570699
760,0.733806828,1140297,5070783
772,0.733836763,2535732,3327254
775,0.733867098,1497561,1849426
763,0.733888155,227353,2570699
761,0.733926675,1531518,2328351
760,0.733951219,25362190,25701203
749,0.733962417,1218609,3761568
768,0.733975109,108019,2622260
754,0.733993917,172656,257024
769,0.734000868,158337,7782049
758,0.734053214,2859500,10733167
762,0.734081085,257024,352610
752,0.73410163,747081,799305
749,0.73411957,188019,724166
760,0.734141726,330543,1711318
761,0.734143638,1140297,8478404
769,0.734163771,770063,2535732
758,0.734179683,4783913,10355638
758,0.73420087,902933,15161948
752,0.734229277,238598,799305
754,0.734313596,208354,10124982
773,0.734327015,770063,10355638
756,0.734327367,285606,1272651
743,0.73434078,453751,1140297
753,0.734362007,238598,1711318
752,0.734374835,681758,787615
751,0.73439378,390025,1218609
758,0.734403729,687678,1531518
753,0.734410242,1218609,1553624
757,0.734440621,81109,285606
743,0.734538557,724166,1140297
751,0.734541904,177831,8183133
763,0.734616387,177831,379353
751,0.734687903,238543,308075
763,0.734693246,10355638,15161948
740,0.734769559,687678,1218609
759,0.734838978,534017,8183133
750,0.734858778,188019,1940900
755,0.734887246,1711318,2622260
776,0.734918667,19005144,23655320
767,0.734927089,108019,1272651
748,0.734945298,238543,1140297
751,0.734979473,1104183,25362190
752,0.734983924,534017,1218609
763,0.735011604,308075,9114042
764,0.735020121,4294732,8183133
760,0.735050969,1218609,1240511
